# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
7287.087000 1208994621000000000.000000 0.002317664 0.000506538 0.0 XRT_5keV
7311.499000 1208994621000000000.000000 0.001727746 0.000389494 0.0 XRT_5keV
7341.466000 1208994621000000000.000000 0.002537297 0.000569203 0.0 XRT_5keV
7367.079000 1208994621000000000.000000 0.001810907 0.000397012 0.0 XRT_5keV
7400.623000 1208994621000000000.000000 0.001938168 0.000415670 0.0 XRT_5keV
7443.029000 1208994621000000000.000000 0.001585138 0.000318266 0.0 XRT_5keV
7471.220000 1208994621000000000.000000 0.002882715 0.000648803 0.0 XRT_5keV
7496.029000 1208994621000000000.000000 0.002401870 0.000524942 0.0 XRT_5keV
7525.483000 1208994621000000000.000000 0.002358807 0.000419533 0.0 XRT_5keV
14208.515000 1208994621000000000.000000 0.001480363 0.000333181 0.0 XRT_5keV
14242.241000 1208994621000000000.000000 0.002222772 0.000501912 0.0 XRT_5keV
14280.568000 1208994621000000000.000000 0.001691657 0.000362265 0.0 XRT_5keV
14313.298000 1208994621000000000.000000 0.001575154 0.000345864 0.0 XRT_5keV
14355.314000 1208994621000000000.000000 0.001049085 0.000236501 0.0 XRT_5keV
14410.410000 1208994621000000000.000000 0.001562098 0.000308664 0.0 XRT_5keV
19705.320000 1208994621000000000.000000 0.001528904 0.000342986 0.0 XRT_5keV
19771.288000 1208994621000000000.000000 0.001130859 0.000190017 0.0 XRT_5keV
24291.142000 1208994621000000000.000000 0.000750702 0.000170791 0.0 XRT_5keV
24372.004000 1208994621000000000.000000 0.001089022 0.000246200 0.0 XRT_5keV
24457.881000 1208994621000000000.000000 0.000994901 0.000224922 0.0 XRT_5keV
24529.971000 1208994621000000000.000000 0.001404465 0.000316019 0.0 XRT_5keV
24588.390000 1208994621000000000.000000 0.001449682 0.000326706 0.0 XRT_5keV
24672.127000 1208994621000000000.000000 0.000912175 0.000208520 0.0 XRT_5keV
24760.014000 1208994621000000000.000000 0.001055071 0.000239279 0.0 XRT_5keV
24858.655000 1208994621000000000.000000 0.000683603 0.000155279 0.0 XRT_5keV
24964.232000 1208994621000000000.000000 0.000965349 0.000219625 0.0 XRT_5keV
25064.900000 1208994621000000000.000000 0.000899075 0.000204547 0.0 XRT_5keV
25165.820000 1208994621000000000.000000 0.000910624 0.000206520 0.0 XRT_5keV
25256.361000 1208994621000000000.000000 0.000802200 0.000179042 0.0 XRT_5keV
25371.791000 1208994621000000000.000000 0.000820615 0.000187889 0.0 XRT_5keV
25476.104000 1208994621000000000.000000 0.000948287 0.000213374 0.0 XRT_5keV
25582.269000 1208994621000000000.000000 0.000693747 0.000157584 0.0 XRT_5keV
25700.382000 1208994621000000000.000000 0.000918715 0.000207371 0.0 XRT_5keV
25762.322000 1208994621000000000.000000 0.001847289 0.000415008 0.0 XRT_5keV
25833.273000 1208994621000000000.000000 0.001060801 0.000239443 0.0 XRT_5keV
25909.121000 1208994621000000000.000000 0.001254221 0.000283547 0.0 XRT_5keV
25973.561000 1208994621000000000.000000 0.001304157 0.000295302 0.0 XRT_5keV
26040.630000 1208994621000000000.000000 0.001290973 0.000277995 0.0 XRT_5keV
29992.311000 1208994621000000000.000000 0.000801288 0.000180754 0.0 XRT_5keV
30070.286000 1208994621000000000.000000 0.000712995 0.000160837 0.0 XRT_5keV
30137.984000 1208994621000000000.000000 0.000771454 0.000174280 0.0 XRT_5keV
30205.058000 1208994621000000000.000000 0.000878985 0.000197410 0.0 XRT_5keV
30264.982000 1208994621000000000.000000 0.000755498 0.000171941 0.0 XRT_5keV
30330.995000 1208994621000000000.000000 0.001222245 0.000262321 0.0 XRT_5keV
30373.230000 1208994621000000000.000000 0.001384029 0.000303283 0.0 XRT_5keV
30429.086000 1208994621000000000.000000 0.000793636 0.000179028 0.0 XRT_5keV
30507.559000 1208994621000000000.000000 0.000525459 0.000118185 0.0 XRT_5keV
30622.266000 1208994621000000000.000000 0.000553310 0.000126113 0.0 XRT_5keV
30686.580000 1208994621000000000.000000 0.001445311 0.000308141 0.0 XRT_5keV
30726.456000 1208994621000000000.000000 0.001006655 0.000226415 0.0 XRT_5keV
30796.536000 1208994621000000000.000000 0.000580395 0.000131520 0.0 XRT_5keV
30848.061000 1208994621000000000.000000 0.000532940 0.000120058 0.0 XRT_5keV
30899.463000 1208994621000000000.000000 0.000974558 0.000219196 0.0 XRT_5keV
30951.583000 1208994621000000000.000000 0.001059097 0.000232729 0.0 XRT_5keV
31023.573000 1208994621000000000.000000 0.000727597 0.000164615 0.0 XRT_5keV
31086.883000 1208994621000000000.000000 0.000838063 0.000189887 0.0 XRT_5keV
31149.312000 1208994621000000000.000000 0.000679117 0.000152745 0.0 XRT_5keV
31231.931000 1208994621000000000.000000 0.000752070 0.000169154 0.0 XRT_5keV
31291.482000 1208994621000000000.000000 0.000958810 0.000215338 0.0 XRT_5keV
31351.151000 1208994621000000000.000000 0.000721974 0.000162623 0.0 XRT_5keV
