t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
41351.082944 1208994621000000000.000000 0.000691205 0.000034560 0.0 XRT_5keV
46247.034604 1208994621000000000.000000 0.000614011 0.000030701 0.0 XRT_5keV
51722.664979 1208994621000000000.000000 0.000452448 0.000022622 0.0 XRT_5keV
57846.607798 1208994621000000000.000000 0.000630506 0.000031525 0.0 XRT_5keV
64695.622994 1208994621000000000.000000 0.000378190 0.000018910 0.0 XRT_5keV
72355.558846 1208994621000000000.000000 0.000331896 0.000016595 0.0 XRT_5keV
80922.428035 1208994621000000000.000000 0.000310080 0.000015504 0.0 XRT_5keV
90503.611105 1208994621000000000.000000 0.000266722 0.000013336 0.0 XRT_5keV
101219.202414 1208994621000000000.000000 0.000242777 0.000012139 0.0 XRT_5keV
141596.956761 1208994621000000000.000000 0.000138259 0.000006913 0.0 XRT_5keV
158361.979732 1208994621000000000.000000 0.000182238 0.000009112 0.0 XRT_5keV
177111.974709 1208994621000000000.000000 0.000110598 0.000005530 0.0 XRT_5keV
198081.961582 1208994621000000000.000000 0.000104686 0.000005234 0.0 XRT_5keV
221534.786502 1208994621000000000.000000 0.000075856 0.000003793 0.0 XRT_5keV
247764.416500 1208994621000000000.000000 0.000054226 0.000002711 0.0 XRT_5keV
277099.624185 1208994621000000000.000000 0.000058198 0.000002910 0.0 XRT_5keV
309908.108711 1208994621000000000.000000 0.000053647 0.000002682 0.0 XRT_5keV
346601.104665 1208994621000000000.000000 0.000052009 0.000002600 0.0 XRT_5keV
433534.784136 1208994621000000000.000000 0.000024092 0.000001205 0.0 XRT_5keV
542272.966029 1208994621000000000.000000 0.000017912 0.000000896 0.0 XRT_5keV
606477.868029 1208994621000000000.000000 0.000017627 0.000000881 0.0 XRT_5keV
758593.230258 1208994621000000000.000000 0.000006755 0.000000338 0.0 XRT_5keV
848410.364907 1208994621000000000.000000 0.000012799 0.000000640 0.0 XRT_5keV
948861.812327 1208994621000000000.000000 0.000008200 0.000000410 0.0 XRT_5keV
1061206.670891 1208994621000000000.000000 0.000007385 0.000000369 0.0 XRT_5keV
1327376.049285 1208994621000000000.000000 0.000003155 0.000000158 0.0 XRT_5keV
1484536.841911 1208994621000000000.000000 0.000002709 0.000000135 0.0 XRT_5keV
3639655.639872 1208994621000000000.000000 0.000000571 0.000000103 0.0 Chandra_5keV
1723680.000000 7400000000.000000 0.109900000 0.016200000 0.0 VLA
1723680.000000 8500000000.000000 0.089400000 0.019300000 0.0 VLA
1723680.000000 11000000000.000000 0.065900000 0.018500000 0.0 VLA
1723680.000000 13500000000.000000 0.083600000 0.013700000 0.0 VLA
1723680.000000 16000000000.000000 0.069200000 0.011900000 0.0 VLA
2064960.000000 6000000000.000000 0.080000000 0.008000000 0.0 VLA
2064960.000000 9000000000.000000 0.071000000 0.007000000 0.0 VLA
3188160.000000 6900000000.000000 0.052000000 0.007000000 0.0 VLA
3188160.000000 8500000000.000000 0.041000000 0.006000000 0.0 VLA
3188160.000000 9500000000.000000 0.029000000 0.006000000 0.0 VLA
6903360.000000 6000000000.000000 0.027000000 0.006000000 0.0 VLA
6903360.000000 9000000000.000000 0.025000000 0.005000000 0.0 VLA
501120.000000 195947712418300.656250 0.024203950 0.003995261 0.0 F160W
3049920.000000 195947712418300.656250 0.000555000 0.000037500 0.0 F160W
2142720.000000 195947712418300.656250 0 0.006677971 3.0 F160W
88992.000000 267678571428571.406250 0.091877217 0.007329520 0.0 F110W
3049920.000000 267678571428571.406250 0.000687000 0.000036100 0.0 F110W
88992.000000 637872340425532.000000 0.071244812 0.042881741 0.0 g-band
