#t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
146016.000000 15500000000.000000 1.100000000 0.060000000 0.0 AMI-LA
316224.000000 15500000000.000000 0.580000000 0.050000000 0.0 AMI-LA
488160.000000 15500000000.000000 0.340000000 0.040000000 0.0 AMI-LA
575424.000000 15500000000.000000 0.0 0.220000000 3.0 AMI-LA
2210976.000000 15500000000.000000 0.0 0.190000000 3.0 AMI-LA
74.120606 467706708268330.750000 645.916737600 28.542682200 0.0 R-band
10121.337910 467706708268330.750000 1.182414464 0.052250202 0.0 R-band
13762.087140 467706708268330.750000 0.783524757 0.052528073 0.0 R-band
20329.200130 467706708268330.750000 0.519100241 0.059261353 0.0 R-band
27340.818010 467706708268330.750000 0.687091959 0.046042774 0.0 R-band
27660.264280 467706708268330.750000 0.577943858 0.025555771 0.0 R-band
29975.037030 467706708268330.750000 0.082553083 0.003647972 0.0 R-band
36731.959510 467706708268330.750000 0.399919026 0.055393842 0.0 R-band
39429.377370 467706708268330.750000 0.351205893 0.015509392 0.0 R-band
40363.985730 467706708268330.750000 0.289088536 0.001000000 0.0 R-band
43330.530300 467706708268330.750000 0.265093991 0.023946346 0.0 R-band
44889.597200 467706708268330.750000 0.232822966 0.005088548 0.0 R-band
73759.479500 467706708268330.750000 0.144526264 0.006386531 0.0 R-band
151576.877400 467706708268330.750000 0.033892569 0.001496709 0.0 R-band
162825.556500 467706708268330.750000 0.052218565 0.002307508 0.0 R-band
249219.876700 467706708268330.750000 0.034592921 0.000756058 0.0 R-band
334720.653800 467706708268330.750000 0.015872976 0.000701418 0.0 R-band
811403.568000 1400000000.000000 0.390000000 0.059000000 0.0 GMRT
