#t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
11519.934000 1208994621000000000.000000 0.008502286 0.001820026 0.0 XRT_5keV
11535.184000 1208994621000000000.000000 0.008066965 0.001785472 0.0 XRT_5keV
11550.706000 1208994621000000000.000000 0.012147193 0.002549237 0.0 XRT_5keV
11570.263000 1208994621000000000.000000 0.006713192 0.001503337 0.0 XRT_5keV
11587.442000 1208994621000000000.000000 0.007649958 0.001603364 0.0 XRT_5keV
11608.255000 1208994621000000000.000000 0.007965114 0.001743034 0.0 XRT_5keV
11628.671000 1208994621000000000.000000 0.005585244 0.001234428 0.0 XRT_5keV
11648.968000 1208994621000000000.000000 0.007967891 0.001756029 0.0 XRT_5keV
11662.282000 1208994621000000000.000000 0.012824118 0.002627415 0.0 XRT_5keV
11678.921000 1208994621000000000.000000 0.008364365 0.001792920 0.0 XRT_5keV
11696.732000 1208994621000000000.000000 0.009509650 0.001908697 0.0 XRT_5keV
11716.079000 1208994621000000000.000000 0.006792682 0.001432936 0.0 XRT_5keV
11736.487000 1208994621000000000.000000 0.009433848 0.002073217 0.0 XRT_5keV
11751.888000 1208994621000000000.000000 0.006973710 0.001534743 0.0 XRT_5keV
11770.042000 1208994621000000000.000000 0.010243418 0.002149707 0.0 XRT_5keV
11785.266000 1208994621000000000.000000 0.009079174 0.002036181 0.0 XRT_5keV
11800.721000 1208994621000000000.000000 0.006962478 0.001530100 0.0 XRT_5keV
11823.319000 1208994621000000000.000000 0.006459500 0.001377170 0.0 XRT_5keV
11848.392000 1208994621000000000.000000 0.005817306 0.001253722 0.0 XRT_5keV
11870.210000 1208994621000000000.000000 0.009439849 0.002071602 0.0 XRT_5keV
11886.185000 1208994621000000000.000000 0.009703192 0.001945236 0.0 XRT_5keV
11902.462000 1208994621000000000.000000 0.010383490 0.002137943 0.0 XRT_5keV
11915.700000 1208994621000000000.000000 0.009215421 0.002022350 0.0 XRT_5keV
11928.985000 1208994621000000000.000000 0.012088318 0.002527081 0.0 XRT_5keV
11944.982000 1208994621000000000.000000 0.006664184 0.001501245 0.0 XRT_5keV
11963.869000 1208994621000000000.000000 0.010099288 0.002116724 0.0 XRT_5keV
11979.935000 1208994621000000000.000000 0.007922045 0.001738515 0.0 XRT_5keV
11996.895000 1208994621000000000.000000 0.008267396 0.001779340 0.0 XRT_5keV
12014.873000 1208994621000000000.000000 0.009231645 0.001889053 0.0 XRT_5keV
12033.365000 1208994621000000000.000000 0.007704952 0.001735699 0.0 XRT_5keV
12051.167000 1208994621000000000.000000 0.006722062 0.001512032 0.0 XRT_5keV
12067.089000 1208994621000000000.000000 0.010905419 0.002449381 0.0 XRT_5keV
12082.571000 1208994621000000000.000000 0.010688388 0.002187143 0.0 XRT_5keV
12098.431000 1208994621000000000.000000 0.007661358 0.001720757 0.0 XRT_5keV
12114.397000 1208994621000000000.000000 0.009630913 0.002058847 0.0 XRT_5keV
12130.467000 1208994621000000000.000000 0.008473465 0.001816305 0.0 XRT_5keV
12143.459000 1208994621000000000.000000 0.011870122 0.002540955 0.0 XRT_5keV
12159.706000 1208994621000000000.000000 0.012108256 0.002340479 0.0 XRT_5keV
12177.786000 1208994621000000000.000000 0.005978030 0.001346674 0.0 XRT_5keV
12196.090000 1208994621000000000.000000 0.007663066 0.001721141 0.0 XRT_5keV
12216.525000 1208994621000000000.000000 0.006616973 0.001488395 0.0 XRT_5keV
12238.786000 1208994621000000000.000000 0.007118290 0.001559922 0.0 XRT_5keV
12254.323000 1208994621000000000.000000 0.010788984 0.002210456 0.0 XRT_5keV
12270.535000 1208994621000000000.000000 0.009690806 0.002077246 0.0 XRT_5keV
12286.946000 1208994621000000000.000000 0.008460175 0.001808573 0.0 XRT_5keV
12302.332000 1208994621000000000.000000 0.008446352 0.001812941 0.0 XRT_5keV
12322.083000 1208994621000000000.000000 0.007612168 0.001714798 0.0 XRT_5keV
12336.876000 1208994621000000000.000000 0.008834018 0.001987088 0.0 XRT_5keV
12352.691000 1208994621000000000.000000 0.011109107 0.002431047 0.0 XRT_5keV
12363.449000 1208994621000000000.000000 0.011953675 0.002308062 0.0 XRT_5keV
12381.464000 1208994621000000000.000000 0.007923449 0.001743757 0.0 XRT_5keV
12395.315000 1208994621000000000.000000 0.011289751 0.002484597 0.0 XRT_5keV
12412.626000 1208994621000000000.000000 0.006131789 0.001355223 0.0 XRT_5keV
12435.466000 1208994621000000000.000000 0.010360143 0.001871438 0.0 XRT_5keV
13287.900000 1208994621000000000.000000 0.010765430 0.002298694 0.0 XRT_5keV
13307.799000 1208994621000000000.000000 0.008468077 0.001909497 0.0 XRT_5keV
13331.791000 1208994621000000000.000000 0.006493223 0.001369877 0.0 XRT_5keV
13351.463000 1208994621000000000.000000 0.012057224 0.002639517 0.0 XRT_5keV
13374.199000 1208994621000000000.000000 0.008781435 0.001847183 0.0 XRT_5keV
13397.191000 1208994621000000000.000000 0.007249525 0.001589577 0.0 XRT_5keV
13419.398000 1208994621000000000.000000 0.009007267 0.001981336 0.0 XRT_5keV
13437.052000 1208994621000000000.000000 0.011500217 0.002580163 0.0 XRT_5keV
13451.674000 1208994621000000000.000000 0.010866473 0.002323811 0.0 XRT_5keV
13470.148000 1208994621000000000.000000 0.007664370 0.001722452 0.0 XRT_5keV
13494.140000 1208994621000000000.000000 0.008055126 0.001769050 0.0 XRT_5keV
13515.280000 1208994621000000000.000000 0.009895767 0.002227673 0.0 XRT_5keV
13542.375000 1208994621000000000.000000 0.005526745 0.001223584 0.0 XRT_5keV
