#t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
12243.198244 1208994621000000000.000000 0.008811382 0.000440569 0.0 XRT_5keV
13780.545164 1208994621000000000.000000 0.008765955 0.000438298 0.0 XRT_5keV
17458.600726 1208994621000000000.000000 0.005891335 0.000294567 0.0 XRT_5keV
19650.832324 1208994621000000000.000000 0.005490978 0.000274549 0.0 XRT_5keV
64135.150829 1208994621000000000.000000 0.001222256 0.000061113 0.0 XRT_5keV
72188.436794 1208994621000000000.000000 0.001053738 0.000052687 0.0 XRT_5keV
115865.384098 1208994621000000000.000000 0.000491485 0.000024574 0.0 XRT_5keV
165222.145274 1208994621000000000.000000 0.000320317 0.000016016 0.0 XRT_5keV
185968.665183 1208994621000000000.000000 0.000269174 0.000013459 0.0 XRT_5keV
235604.080559 1208994621000000000.000000 0.000195318 0.000009766 0.0 XRT_5keV
265188.279092 1208994621000000000.000000 0.000147712 0.000007386 0.0 XRT_5keV
335967.570715 1208994621000000000.000000 0.000109409 0.000005470 0.0 XRT_5keV
378154.154619 1208994621000000000.000000 0.000110087 0.000005504 0.0 XRT_5keV
425637.999381 1208994621000000000.000000 0.000071844 0.000003592 0.0 XRT_5keV
479084.268423 1208994621000000000.000000 0.000064735 0.000003237 0.0 XRT_5keV
539241.648030 1208994621000000000.000000 0.000051849 0.000002592 0.0 XRT_5keV
606952.835098 1208994621000000000.000000 0.000045655 0.000002283 0.0 XRT_5keV
683166.341805 1208994621000000000.000000 0.000037891 0.000001895 0.0 XRT_5keV
768949.782563 1208994621000000000.000000 0.000035796 0.000001790 0.0 XRT_5keV
865504.829384 1208994621000000000.000000 0.000029516 0.000001476 0.0 XRT_5keV
1234195.750260 1208994621000000000.000000 0.000010432 0.000000522 0.0 XRT_5keV
1389170.536851 1208994621000000000.000000 0.000008048 0.000000402 0.0 XRT_5keV
1563605.108872 1208994621000000000.000000 0.000006635 0.000000332 0.0 XRT_5keV
1980934.495987 1208994621000000000.000000 0.000004353 0.000000218 0.0 XRT_5keV
2824780.236330 1208994621000000000.000000 0.000002169 0.000000108 0.0 XRT_5keV
3790131.920000 1208994621000000000.000000 0.0 0.000002229 1.0 XRT_5keV
146016.000000 15500000000.000000 1.100000000 0.060000000 0.0 AMI-LA
316224.000000 15500000000.000000 0.580000000 0.050000000 0.0 AMI-LA
488160.000000 15500000000.000000 0.340000000 0.040000000 0.0 AMI-LA
575424.000000 15500000000.000000 0.0 0.220000000 3.0 AMI-LA
2210976.000000 15500000000.000000 0.0 0.190000000 3.0 AMI-LA
74.120606 467706708268330.750000 645.916737600 28.542682200 0.0 R-band
10121.337910 467706708268330.750000 1.182414464 0.052250202 0.0 R-band
13762.087140 467706708268330.750000 0.783524757 0.052528073 0.0 R-band
20329.200130 467706708268330.750000 0.519100241 0.059261353 0.0 R-band
27340.818010 467706708268330.750000 0.687091959 0.046042774 0.0 R-band
27660.264280 467706708268330.750000 0.577943858 0.025555771 0.0 R-band
29975.037030 467706708268330.750000 0.082553083 0.003647972 0.0 R-band
36731.959510 467706708268330.750000 0.399919026 0.055393842 0.0 R-band
39429.377370 467706708268330.750000 0.351205893 0.015509392 0.0 R-band
40363.985730 467706708268330.750000 0.289088536 0.001000000 0.0 R-band
43330.530300 467706708268330.750000 0.265093991 0.023946346 0.0 R-band
44889.597200 467706708268330.750000 0.232822966 0.005088548 0.0 R-band
73759.479500 467706708268330.750000 0.144526264 0.006386531 0.0 R-band
151576.877400 467706708268330.750000 0.033892569 0.001496709 0.0 R-band
162825.556500 467706708268330.750000 0.052218565 0.002307508 0.0 R-band
249219.876700 467706708268330.750000 0.034592921 0.000756058 0.0 R-band
334720.653800 467706708268330.750000 0.015872976 0.000701418 0.0 R-band
811403.568000 1400000000.000000 0.390000000 0.059000000 0.0 GMRT
