# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
41351.082944 1208994621000000000.000000 0.000691205 0.000034560 0.0 XRT_5keV
46247.034604 1208994621000000000.000000 0.000614011 0.000030701 0.0 XRT_5keV
51722.664979 1208994621000000000.000000 0.000452448 0.000022622 0.0 XRT_5keV
57846.607798 1208994621000000000.000000 0.000630506 0.000031525 0.0 XRT_5keV
64695.622994 1208994621000000000.000000 0.000378190 0.000018910 0.0 XRT_5keV
72355.558846 1208994621000000000.000000 0.000331896 0.000016595 0.0 XRT_5keV
80922.428035 1208994621000000000.000000 0.000310080 0.000015504 0.0 XRT_5keV
90503.611105 1208994621000000000.000000 0.000266722 0.000013336 0.0 XRT_5keV
101219.202414 1208994621000000000.000000 0.000242777 0.000012139 0.0 XRT_5keV
141596.956761 1208994621000000000.000000 0.000138259 0.000006913 0.0 XRT_5keV
158361.979732 1208994621000000000.000000 0.000182238 0.000009112 0.0 XRT_5keV
177111.974709 1208994621000000000.000000 0.000110598 0.000005530 0.0 XRT_5keV
198081.961582 1208994621000000000.000000 0.000104686 0.000005234 0.0 XRT_5keV
221534.786502 1208994621000000000.000000 0.000075856 0.000003793 0.0 XRT_5keV
247764.416500 1208994621000000000.000000 0.000054226 0.000002711 0.0 XRT_5keV
277099.624185 1208994621000000000.000000 0.000058198 0.000002910 0.0 XRT_5keV
309908.108711 1208994621000000000.000000 0.000053647 0.000002682 0.0 XRT_5keV
346601.104665 1208994621000000000.000000 0.000052009 0.000002600 0.0 XRT_5keV
433534.784136 1208994621000000000.000000 0.000024092 0.000001205 0.0 XRT_5keV
542272.966029 1208994621000000000.000000 0.000017912 0.000000896 0.0 XRT_5keV
606477.868029 1208994621000000000.000000 0.000017627 0.000000881 0.0 XRT_5keV
758593.230258 1208994621000000000.000000 0.000006755 0.000000338 0.0 XRT_5keV
848410.364907 1208994621000000000.000000 0.000012799 0.000000640 0.0 XRT_5keV
948861.812327 1208994621000000000.000000 0.000008200 0.000000410 0.0 XRT_5keV
1061206.670891 1208994621000000000.000000 0.000007385 0.000000369 0.0 XRT_5keV
1327376.049285 1208994621000000000.000000 0.000003155 0.000000158 0.0 XRT_5keV
1484536.841911 1208994621000000000.000000 0.000002709 0.000000135 0.0 XRT_5keV
3639655.639872 1208994621000000000.000000 0.000000571 0.000000103 0.0 Chandra_5keV
31380.480000 5000000000.000000 0.078200000 0.023900000 0.0 VLA
31380.480000 7400000000.000000 0.090800000 0.018600000 0.0 VLA
30360.960000 8500000000.000000 0.043800000 0.029100000 0.0 VLA
30360.960000 11000000000.000000 0.050600000 0.027400000 0.0 VLA
100932.480000 5000000000.000000 0.204700000 0.022300000 0.0 VLA
100932.480000 7400000000.000000 0.437100000 0.018500000 0.0 VLA
99601.920000 8500000000.000000 0.664700000 0.022900000 0.0 VLA
99601.920000 11000000000.000000 0.963400000 0.017200000 0.0 VLA
98228.160000 13500000000.000000 0.946000000 0.027200000 0.0 VLA
98228.160000 16000000000.000000 1.025900000 0.031700000 0.0 VLA
96448.320000 19200000000.000000 1.341700000 0.033700000 0.0 VLA
96448.320000 24500000000.000000 1.891800000 0.056300000 0.0 VLA
94271.040000 30000000000.000000 2.117800000 0.047900000 0.0 VLA
94271.040000 37000000000.000000 2.410900000 0.061500000 0.0 VLA
185578.560000 5000000000.000000 0.509100000 0.018900000 0.0 VLA
185578.560000 7400000000.000000 0.754100000 0.014900000 0.0 VLA
183677.760000 19200000000.000000 1.140000000 0.016000000 0.0 VLA
183677.760000 24500000000.000000 1.171000000 0.021000000 0.0 VLA
